trial,severity,mse,active_ingredient,year,spray
202,0.1,9.90909,trif_prot,2012,2
3,0.1,6.53177,azox_cypr,2005,2
3,0.1,6.53177,tebu,2005,2
8,0.1,0.34482,azox_cypr,2005,2
7,0.1,6.41161,tebu,2005,2
7,0.1,6.41161,azox_cypr,2005,2
33,0.1,0.02706,cypr,2006,2
85,0.1,0.04092,tebu,2008,2
105,0.1,0.15370,pico_cypr,2009,2
130,0.1,0.09829,azox_cypr,2009,2
8,0.1,0.34482,tebu,2005,2
33,0.1,0.02706,tebu,2006,2
85,0.1,0.04092,pico_cypr,2008,2
85,0.1,0.04092,azox_cypr,2008,2
105,0.2,0.15370,pyra_epox,2009,2
130,0.2,0.09829,trif_prot,2009,2
130,0.2,0.09829,tebu,2009,2
122,0.2,5.51590,trif_prot,2009,3
167,0.2,7.97940,pyra_epox,2010,2
18,0.2,1.22196,azox_cypr,2005,2
105,0.2,0.15370,azox_cypr,2009,2
130,0.2,0.09829,pyra_metc,2009,2
152,0.2,0.00756,pyra_metc,2010,2
152,0.2,0.00756,pico_cypr,2010,2
210,0.2,2.31392,pico_cypr,2013,2
105,0.2,0.15370,tebu,2009,2
202,0.3,9.90909,pyra_epox,2012,2
126,0.3,0.05907,trif_prot,2009,2
152,0.3,0.00756,pyra_epox,2010,2
4,0.3,0.02818,tebu,2005,2
88,0.3,69.98940,pico_cypr,2008,
94,0.3,0.06302,pico_cypr,2009,3
152,0.3,0.00756,cypr,2010,2
210,0.3,2.31392,trif_prot,2013,2
35,0.4,1.62375,tebu,2006,2
126,0.4,0.05907,azox_cypr,2009,2
152,0.4,0.00756,azox_cypr,2010,2
152,0.4,0.00756,tebu,2010,2
167,0.4,7.97940,azox_cypr,2010,2
210,0.4,2.31392,cypr,2013,2
18,0.4,1.22196,tebu,2005,2
152,0.4,0.00760,check,2010,2
126,0.4,0.05907,pyra_metc,2009,2
33,0.5,0.02710,check,2006,2
189,0.5,2.98095,azox_cypr,2011,2
4,0.5,0.02818,azox_cypr,2005,2
181,0.6,43.46405,pyra_epox,2011,2
216,0.6,21.61276,trif_prot,2013,2
212,0.6,0.10999,trif_prot,2013,3
149,0.6,283.93882,pico_cypr,2010,2
