trial,yield,mse,active_ingredient,year,spray
1,1673.08,162224.7635,check,2005,2
1,3500.45,162224.7635,azox_cypr,2005,2
1,3355.38,162224.7635,tebu,2005,2
2,2039.98,59149.8307,check,2005,2
2,2238.00,59149.8307,azox_cypr,2005,2
2,2040.91,59149.8307,tebu,2005,2
3,1906.65,66734.2222,check,2005,2
3,2465.73,66734.2222,azox_cypr,2005,2
3,2558.64,66734.2222,tebu,2005,2
4,1350.00,20055.3044,check,2005,2
4,1176.00,20055.3044,azox_cypr,2005,2
4,1434.00,20055.3044,tebu,2005,2
5,986.85,63954.4019,check,2005,2
5,2707.55,63954.4019,azox_cypr,2005,2
5,2530.18,63954.4019,tebu,2005,2
6,2170.95,144166.9300,check,2005,2
6,2771.80,144166.9300,azox_cypr,2005,2
6,2772.78,144166.9300,tebu,2005,2
7,2087.66,216745.4027,check,2005,2
7,2722.08,216745.4027,azox_cypr,2005,2
7,2803.23,216745.4027,tebu,2005,2
8,1961.98,110905.6993,check,2005,2
8,2358.68,110905.6993,azox_cypr,2005,2
8,2550.48,110905.6993,tebu,2005,2
9,487.50,43281.9314,check,2005,2
9,2407.50,43281.9314,azox_cypr,2005,2
9,2496.00,43281.9314,tebu,2005,2
10,1987.63,27684.3513,check,2005,2
10,2364.68,27684.3513,azox_cypr,2005,2
10,2076.43,27684.3513,tebu,2005,2
11,2469.80,96226.1305,check,2005,2
11,3211.65,96226.1305,azox_cypr,2005,2
11,3500.88,96226.1305,tebu,2005,2
12,827.70,79634.1612,check,2005,2
12,2524.80,79634.1612,azox_cypr,2005,2
12,2470.00,79634.1612,tebu,2005,2
13,2520.23,75456.6696,check,2005,2
13,3235.53,75456.6696,azox_cypr,2005,2
13,3154.88,75456.6696,tebu,2005,2
14,956.80,39935.0951,check,2005,2
14,1307.73,39935.0951,azox_cypr,2005,2
14,1438.78,39935.0951,tebu,2005,2
15,1388.40,29224.4721,check,2005,2
15,2639.25,29224.4721,azox_cypr,2005,2
15,2719.05,29224.4721,tebu,2005,2
16,2841.43,178366.3790,check,2005,2
16,3173.80,178366.3790,azox_cypr,2005,2
16,3137.59,178366.3790,tebu,2005,2
17,1924.98,228390.6632,check,2005,2
17,2938.10,228390.6632,azox_cypr,2005,2
17,2632.05,228390.6632,tebu,2005,2
18,1095.70,41634.0342,check,2005,2
18,1462.48,41634.0342,azox_cypr,2005,2
18,1598.31,41634.0342,tebu,2005,2
19,1753.00,75580.8423,check,2005,2
19,2992.00,75580.8423,azox_cypr,2005,2
19,2856.88,75580.8423,tebu,2005,2
20,412.93,84862.1187,check,2006,2
20,1648.75,84862.1187,cypr,2006,2
20,1297.21,84862.1187,tebu,2006,2
21,1030.73,59347.9470,check,2006,2
21,2169.98,59347.9470,cypr,2006,2
21,2262.25,59347.9470,tebu,2006,2
22,3066.00,43641.1667,check,2006,2
22,3278.50,43641.1667,cypr,2006,2
22,3233.75,43641.1667,tebu,2006,2
23,1898.05,16117.5057,check,2006,
23,2133.80,16117.5057,cypr,2006,
23,2347.23,16117.5057,tebu,2006,
24,2036.15,24717.2751,check,2006,2
24,2829.33,24717.2751,cypr,2006,2
24,2954.64,24717.2751,tebu,2006,2
25,1182.50,29032.5284,check,2006,2
25,1497.50,29032.5284,cypr,2006,2
25,1832.50,29032.5284,tebu,2006,2
26,573.13,37404.9373,check,2006,2
26,1419.20,37404.9373,cypr,2006,2
26,1070.89,37404.9373,tebu,2006,2
27,3889.48,223846.3495,check,2006,2
27,4124.43,223846.3495,cypr,2006,2
27,4020.29,223846.3495,tebu,2006,2
28,1569.38,52801.3523,check,2006,2
28,2742.40,52801.3523,cypr,2006,2
28,2701.18,52801.3523,tebu,2006,2
29,1137.88,13238.7663,check,2006,2
29,1968.65,13238.7663,cypr,2006,2
29,1820.01,13238.7663,tebu,2006,2
30,912.93,80209.4541,check,2006,2
30,1690.23,80209.4541,cypr,2006,2
30,1631.45,80209.4541,tebu,2006,2
31,2420.95,74347.3723,check,2006,2
31,3696.95,74347.3723,cypr,2006,2
31,3789.88,74347.3723,tebu,2006,2
